Validation_Set,Topics,Alpha,Beta,Coherence
75% Corpus,8,symmetric,symmetric,0.3315937089046452
75% Corpus,8,asymmetric,0.01,0.3033241801108211
75% Corpus,8,asymmetric,0.31,0.42702532736692855
75% Corpus,8,asymmetric,0.61,0.4126108675616135
75% Corpus,8,asymmetric,0.9099999999999999,0.35691497242108433
75% Corpus,8,asymmetric,symmetric,0.38993091078042363
75% Corpus,9,0.01,0.01,0.37911159400823013
75% Corpus,9,0.01,0.31,0.4213085211187734
75% Corpus,9,0.01,0.61,0.3324594375388178
75% Corpus,9,0.01,0.9099999999999999,0.322007694421929
75% Corpus,9,0.01,symmetric,0.40317176378430614
75% Corpus,9,0.31,0.01,0.4194559030381702
75% Corpus,9,0.31,0.31,0.38400911679238825
75% Corpus,9,0.31,0.61,0.3950893946402682
75% Corpus,9,0.31,0.9099999999999999,0.43195595924005037
75% Corpus,9,0.31,symmetric,0.4012382722709631
75% Corpus,9,0.61,0.01,0.41943311966985536
75% Corpus,9,0.61,0.31,0.3963657819998463
75% Corpus,9,0.61,0.61,0.37307273942891855
75% Corpus,9,0.61,0.9099999999999999,0.4252786218983819
75% Corpus,9,0.61,symmetric,0.38929035839209386
75% Corpus,9,0.9099999999999999,0.01,0.439992448350677
75% Corpus,9,0.9099999999999999,0.31,0.3797466075549021
75% Corpus,9,0.9099999999999999,0.61,0.3636509520313827
75% Corpus,9,0.9099999999999999,0.9099999999999999,0.4971026258761903
75% Corpus,9,0.9099999999999999,symmetric,0.3769228418156756
75% Corpus,9,symmetric,0.01,0.37002754357533957
75% Corpus,9,symmetric,0.31,0.38716459467329645
75% Corpus,9,symmetric,0.61,0.32640248285428825
75% Corpus,9,symmetric,0.9099999999999999,0.39577076856944904
75% Corpus,9,symmetric,symmetric,0.3890018760784104
75% Corpus,9,asymmetric,0.01,0.31535880403839767
75% Corpus,9,asymmetric,0.31,0.4225194403048992
75% Corpus,9,asymmetric,0.61,0.40593437978967056
75% Corpus,9,asymmetric,0.9099999999999999,0.38424408466783694
75% Corpus,9,asymmetric,symmetric,0.42582469387225164
75% Corpus,10,0.01,0.01,0.3822514972883637
75% Corpus,10,0.01,0.31,0.3538216936934234
75% Corpus,10,0.01,0.61,0.3310435105817607
75% Corpus,10,0.01,0.9099999999999999,0.38770429726402716
75% Corpus,10,0.01,symmetric,0.389277259907109
75% Corpus,10,0.31,0.01,0.4410104830814435
